match_number,stage,group,home_team,away_team,match_date,venue,home_slot,away_slot,home_source_match_num,away_source_match_num
1,Group Stage,A,MEX,RSA,2026-06-11T13:00-06:00,"Estadio Azteca, Mexico City",,,,
2,Group Stage,A,KOR,CZE,2026-06-11T22:00-06:00,"Estadio Akron, Guadalajara",,,,
3,Group Stage,B,CAN,BIH,2026-06-12T15:00-04:00,"BMO Field, Toronto",,,,
4,Group Stage,D,USA,PAR,2026-06-12T21:00-07:00,"SoFi Stadium, Los Angeles",,,,
5,Group Stage,B,QAT,SUI,2026-06-13T15:00-07:00,"Levi's Stadium, San Francisco Bay Area",,,,
6,Group Stage,C,BRA,MAR,2026-06-13T18:00-04:00,"MetLife Stadium, New York/New Jersey",,,,
7,Group Stage,C,HAI,SCO,2026-06-13T21:00-04:00,"Gillette Stadium, Boston",,,,
8,Group Stage,D,AUS,TUR,2026-06-14T12:00-07:00,"BC Place, Vancouver",,,,
9,Group Stage,E,GER,CUW,2026-06-14T13:00-05:00,"NRG Stadium, Houston",,,,
10,Group Stage,F,NED,JPN,2026-06-14T16:00-05:00,"AT&T Stadium, Dallas",,,,
11,Group Stage,E,CIV,ECU,2026-06-14T19:00-04:00,"Lincoln Financial Field, Philadelphia",,,,
12,Group Stage,F,SWE,TUN,2026-06-14T22:00-06:00,"Estadio BBVA, Monterrey",,,,
13,Group Stage,H,ESP,CPV,2026-06-15T12:00-04:00,"Mercedes-Benz Stadium, Atlanta",,,,
14,Group Stage,G,BEL,EGY,2026-06-15T15:00-07:00,"Lumen Field, Seattle",,,,
15,Group Stage,H,KSA,URU,2026-06-15T18:00-04:00,"Hard Rock Stadium, Miami",,,,
16,Group Stage,G,IRN,NZL,2026-06-15T21:00-07:00,"SoFi Stadium, Los Angeles",,,,
17,Group Stage,I,FRA,SEN,2026-06-16T15:00-04:00,"MetLife Stadium, New York/New Jersey",,,,
18,Group Stage,I,IRQ,NOR,2026-06-16T18:00-04:00,"Gillette Stadium, Boston",,,,
19,Group Stage,J,ARG,ALG,2026-06-16T21:00-05:00,"Arrowhead Stadium, Kansas City",,,,
