name,code,group_letter,flag_emoji
Mexico,MEX,A,🇲🇽
South Africa,RSA,A,🇿🇦
South Korea,KOR,A,🇰🇷
Czechia,CZE,A,🇨🇿
Canada,CAN,B,🇨🇦
Switzerland,SUI,B,🇨🇭
Qatar,QAT,B,🇶🇦
Bosnia & Herzegovina,BIH,B,🇧🇦
Brazil,BRA,C,🇧🇷
Morocco,MAR,C,🇲🇦
Haiti,HAI,C,🇭🇹
Scotland,SCO,C,🏴󠁧󠁢󠁳󠁣󠁴󠁿
USA,USA,D,🇺🇸
Paraguay,PAR,D,🇵🇾
Australia,AUS,D,🇦🇺
Türkiye,TUR,D,🇹🇷
Germany,GER,E,🇩🇪
Curaçao,CUW,E,🇨🇼
Côte d'Ivoire,CIV,E,🇨🇮
Ecuador,ECU,E,🇪🇨
Netherlands,NED,F,🇳🇱
Japan,JPN,F,🇯🇵
Tunisia,TUN,F,🇹🇳
Sweden,SWE,F,🇸🇪
Belgium,BEL,G,🇧🇪
Egypt,EGY,G,🇪🇬
Iran,IRN,G,🇮🇷
New Zealand,NZL,G,🇳🇿
Spain,ESP,H,🇪🇸
Cabo Verde,CPV,H,🇨🇻
Saudi Arabia,KSA,H,🇸🇦
Uruguay,URU,H,🇺🇾
France,FRA,I,🇫🇷
Senegal,SEN,I,🇸🇳
Norway,NOR,I,🇳🇴
Iraq,IRQ,I,🇮🇶
Argentina,ARG,J,🇦🇷
Algeria,ALG,J,🇩🇿
Austria,AUT,J,🇦🇹
Jordan,JOR,J,🇯🇴
Portugal,POR,K,🇵🇹
Colombia,COL,K,🇨🇴
Uzbekistan,UZB,K,🇺🇿
DR Congo,COD,K,🇨🇩
England,ENG,L,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Croatia,CRO,L,🇭🇷
Ghana,GHA,L,🇬🇭
Panama,PAN,L,🇵🇦
